epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1790.23,1.69163,1.89551,1.78349,0.53611,0.53358,0.52015,0.23282,1.76114,1.84909,1.82564,0.000561279,0.000561279,0.000561279
69,1816.82,1.68829,1.92591,1.78454,0.61502,0.4573,0.54078,0.25274,1.66591,1.7047,1.77185,0.000544776,0.000544776,0.000544776
70,1843.3,1.67134,1.89782,1.75822,0.60264,0.4878,0.55199,0.23017,1.70712,1.78536,1.77977,0.000528272,0.000528272,0.000528272
71,1869.47,1.68805,1.91118,1.77255,0.68642,0.43722,0.54315,0.24856,1.68424,1.72901,1.77405,0.000511769,0.000511769,0.000511769
72,1895.93,1.67341,1.89994,1.7631,0.63715,0.54341,0.55642,0.25962,1.70212,1.73368,1.7625,0.000495266,0.000495266,0.000495266
73,1922.16,1.66695,1.85286,1.752,0.52864,0.56761,0.57119,0.26938,1.66537,1.73014,1.76392,0.000478762,0.000478762,0.000478762
74,1947.84,1.65238,1.85842,1.75422,0.68996,0.50094,0.57793,0.26086,1.65307,1.65348,1.74934,0.000462259,0.000462259,0.000462259
75,1972.85,1.64947,1.82904,1.7515,0.6816,0.47636,0.56037,0.26919,1.6569,1.66543,1.75702,0.000445756,0.000445756,0.000445756
76,1998.99,1.66479,1.85359,1.75963,0.65883,0.45967,0.56695,0.27552,1.65339,1.70087,1.72755,0.000429253,0.000429253,0.000429253
77,2025.3,1.63539,1.81998,1.73866,0.60805,0.56084,0.57889,0.28433,1.64284,1.66385,1.73417,0.000412749,0.000412749,0.000412749
78,2051.66,1.62357,1.83595,1.73693,0.59312,0.48663,0.55304,0.25899,1.67353,1.66177,1.75533,0.000396246,0.000396246,0.000396246
79,2077.83,1.65911,1.83838,1.73922,0.70929,0.43373,0.54341,0.26693,1.65809,1.69831,1.71945,0.000379743,0.000379743,0.000379743
