epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,4589.92,1.24269,1.10089,1.39768,0.86006,0.82181,0.88413,0.58882,1.36834,1.05941,1.46566,0.000222961,0.000222961,0.000222961
107,4631.96,1.23095,1.09616,1.39294,0.85393,0.83764,0.88968,0.59507,1.36401,1.02096,1.46776,0.000209209,0.000209209,0.000209209
108,4674.19,1.22461,1.09012,1.3883,0.85844,0.81769,0.88686,0.58848,1.38865,1.073,1.47354,0.000195456,0.000195456,0.000195456
109,4716.69,1.21404,1.08338,1.37925,0.87385,0.81711,0.89481,0.6086,1.3395,1.01391,1.44994,0.000181703,0.000181703,0.000181703
110,4763.54,1.2126,1.07743,1.38349,0.84928,0.84014,0.89433,0.60399,1.35245,1.05234,1.4568,0.00016795,0.00016795,0.00016795
111,4807.56,1.24493,0.97871,1.39813,0.83174,0.83938,0.88157,0.59003,1.38825,1.04623,1.48507,0.000154198,0.000154198,0.000154198
112,4849.61,1.20525,0.92409,1.36402,0.86761,0.83439,0.89273,0.5889,1.37371,1.03728,1.46284,0.000140445,0.000140445,0.000140445
113,4891.41,1.17853,0.88699,1.34824,0.86442,0.80893,0.89031,0.5926,1.39427,1.04343,1.48548,0.000126692,0.000126692,0.000126692
114,4934.49,1.1835,0.8856,1.34391,0.85499,0.84067,0.89087,0.59245,1.38909,1.03902,1.46804,0.000112939,0.000112939,0.000112939
115,4976.58,1.15625,0.87148,1.32324,0.87081,0.85065,0.8987,0.59468,1.37106,1.0393,1.45467,9.91865e-05,9.91865e-05,9.91865e-05
116,5018.8,1.15264,0.86558,1.32376,0.87075,0.84236,0.9019,0.60861,1.33906,0.98873,1.4481,8.54337e-05,8.54337e-05,8.54337e-05
117,5066.45,1.14245,0.85984,1.3178,0.88178,0.85922,0.90772,0.61049,1.33934,0.99013,1.44292,7.1681e-05,7.1681e-05,7.1681e-05
118,5114.93,1.12552,0.8474,1.30435,0.87705,0.83239,0.90094,0.60643,1.34256,0.99307,1.44392,5.79283e-05,5.79283e-05,5.79283e-05
119,5156.65,1.15711,0.86064,1.33501,0.88148,0.83907,0.8994,0.60571,1.34724,1.01138,1.44369,4.41755e-05,4.41755e-05,4.41755e-05
120,5199.26,1.12055,0.83616,1.29401,0.87889,0.8374,0.90238,0.6092,1.33436,0.98815,1.43793,3.04227e-05,3.04227e-05,3.04227e-05
